Song,Singers,Movie,Hero ,Director,Year
Sooda Oru Sooriyan,[' Deepak'], Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Paarai Mele,[' Yuvan Shankar Raja'], Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Maina Rendu,[' Vijay Yesudas'], Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Sathriyan Action Theme,0, Sathriyan, Vikram Prabhu, S. R. Prabhakaran.,2017
Good Bad and Ugly,[' Aishvarya Khumar'], Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
Kannungala Chellangala (Tribute To Kaviarasar Kannadasan),[' Yuvan Shankar Raja'], Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
Maalai Varum Venn Ila,"[' Dhanush', ' Yuvan Shankar Raja']", Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
En Pondaati Ooruku Poita,"[' Yuvan Shankar Raja', ' S.J.Suryah']", Nenjam Marappathillai, S. J. Surya, Selvaraghavan.,2016
Trend Song,[' STR'], Anbanavan Asaradhavan Adangadhavan, Silambarasan, Adhik Ravichandran.,2017
Neee En Kangal,[' Yuvan Shankar Raja'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Solli Tholaiyen Ma,[' Dhanush'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Ennulae,[' Tanvi Shah'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Naan Ini Kaatril,"[' Yuvan Shankar Raja', ' Chinmayi']", Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Neee En Kangal,[' Yuvan Shankar Raja'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Solli Tholaiyen Ma,[' Dhanush'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Ennulae,[' Tanvi Shah'], Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Naan Ini Kaatril,"[' Yuvan Shankar Raja', ' Chinmayi']", Yaakkai, Krishna, Kuzhandhai Velappan.,2017
Yaaro Ucchikilai Meley,[' Yuvan Shankar Raja'], Taramani, Vasanth Ravi, Ram.,2017
Unn Badhil Vendi,"[' Siddharth', ' Sruthi S']", Taramani, Vasanth Ravi, Ram.,2017
Unnai Unnai Unnai,"[' Yuvan Shankar Raja', ' Sruthi S']", Taramani, Vasanth Ravi, Ram.,2017
Kaadhal Oru Kattukkadhai,"[' Suvi', ' Rita']", Taramani, Vasanth Ravi, Ram.,2017
Oru Koappai,[' Andrea Jeremiah'], Taramani, Vasanth Ravi, Ram.,2017
Paavangalai,"[' Mukesh', ' Senthil Das', ' Yuvan Shankar Raja']", Taramani, Vasanth Ravi, Ram.,2017
From The Bottom Of Our Hearts,0, Taramani, Vasanth Ravi, Ram.,2017
Endha Pakkam,"[' Chinmayi Sripada', ' Rahul Nanda']", Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Andipatti,"[' Senthildass', ' Surmukhi']", Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Poi Vaada,[' Srimathumitha'], Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Makka Kalanguthappa,[' Mathichiyam Bala'], Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Naan Kaatrilae,[' Karthick'], Dharmadurai, Vijay Sethupathi, Seenu Ramasamy.,2016
Soppanasundari Remix,[' Premgi'], Chennai 600028 II, Jai, Venkat Prabhu.,2016
Nee Kidaithai,"[' Haricharan', ' Chinmayi']", Chennai 600028 II, Jai, Venkat Prabhu.,2016
Idhu Kadhaiya,"[' Sean Roldon', ' Khareshma Ravichandran']", Chennai 600028 II, Jai, Venkat Prabhu.,2016
House Party,[' Senthil Das'], Chennai 600028 II, Jai, Venkat Prabhu.,2016
The Boys Are Back,"[' Yuvan Shankar Raja', ' Premgi']", Chennai 600028 II, Jai, Venkat Prabhu.,2016
Soppana Sundari,"[' Yuvan Shankar Raja', ' Premgi']", Chennai 600028 II, Jai, Venkat Prabhu.,2016
Therikkudhu Masss,"['Shankar Mahadevan', ' Ranjith', ' Yuvan Shankar Raja']", Masss, Suriya, Venkat Prabhu.,2015
Naan Aval llai,"['Karthik', ' Chinmayi']", Masss, Suriya, Venkat Prabhu.,2015
Poochandi,"['Yuvan Shankar Raja', ' Pooja']", Masss, Suriya, Venkat Prabhu.,2015
Con Man Theme,['Yuvan Shankar Raja'], Masss, Suriya, Venkat Prabhu.,2015
Piravi,['Vaikom Vijayalakshmi'], Masss, Suriya, Venkat Prabhu.,2015
Masss Theme,['Yuvan Shankar Raja'], Masss, Suriya, Venkat Prabhu.,2015
Parapapa Katti,"['Vijay Yesudas', ' Ranjith']", Yatchan, Arya, Vishnuvardhan.,2015
Konjalaai,"['Yuvan Shankar Raja', ' Tanvi Shah']", Yatchan, Arya, Vishnuvardhan.,2015
Kaakka Ponnu,"['Anthony Dasan', ' Priyadharshini', ' Yuvan Shankar Raja']", Yatchan, Arya, Vishnuvardhan.,2015
Innum Enna,['Yuvan Shankar Raja'], Yatchan, Arya, Vishnuvardhan.,2015
Nenjukulla Nee,"['Vijay Prakash', ' Ajeesh', ' Diwakar']", Vadacurry, Jai, Saravana Rajan.,2014
Low Aana Life,"['Anirudh', ' Andrea Jeremiah']", Vadacurry, Jai, Saravana Rajan.,2014
Kelunganne Kelunga,['Gana Bala'], Vadacurry, Jai, Saravana Rajan.,2014
Ullangaiyil Ennai Vaithu,['Siddharth Mahadevan'], Vadacurry, Jai, Saravana Rajan.,2014
Uyirin Maeloru Uyirvandhu,"['Priya Hemesh', ' Sathyan']", Vadacurry, Jai, Saravana Rajan.,2014
Kongunattu Thendralukku,"['Karthik Raja', ' Venkat Prabhu']", Vanavarayan Vallavarayan, Krishna Kulasekaran, Rajmohan.,2014
Tharamele Irundhena,['Yuvan Shankar Raja'], Vanavarayan Vallavarayan, Krishna Kulasekaran, Rajmohan.,2014
Thakkalikku Thavaniye,"['Vijay Yesudas', ' Renu']", Vanavarayan Vallavarayan, Krishna Kulasekaran, Rajmohan.,2014
Viduda Ponnungale Venam,['Mukesh'], Vanavarayan Vallavarayan, Krishna Kulasekaran, Rajmohan.,2014
Vangamma Vangappa,"['Ranjith', ' Sathyan', ' Priya Hemesh', ' Vasudevan']", Vanavarayan Vallavarayan, Krishna Kulasekaran, Rajmohan.,2014
Manasu Enge,['Manicka Vinayagam'], Vanavarayan Vallavarayan, Krishna Kulasekaran, Rajmohan.,2014
Ennodu Va,"['Sathyan', ' Senthil Das', ' Priyadharshini']", Thirudan Police, Attakathi Dinesh, Caarthick Raju.,2014
Moodu Panikkul,"['Naresh Iyer', ' Roshini']", Thirudan Police, Attakathi Dinesh, Caarthick Raju.,2014
Pesadhe,"['Hariharasudhan', ' Pooja']", Thirudan Police, Attakathi Dinesh, Caarthick Raju.,2014
Deivam Enbadhenna (I),['Haricharan'], Thirudan Police, Attakathi Dinesh, Caarthick Raju.,2014
Deivam Enbadhenna (II),['S.P.B.Charan'], Thirudan Police, Attakathi Dinesh, Caarthick Raju.,2014
Bang Bang Bang,['K.G.Ranjith'], Anjaan, Suriya, N.Lingusamy.,2014
Oru Kan Jaadai,"['Benny Dayal', ' Swetha Pandit']", Anjaan, Suriya, N.Lingusamy.,2014
Ek Do Theen,"['Suriya', ' Andrea Jeremiah', 'Yuvan Shankar Raja']", Anjaan, Suriya, N.Lingusamy.,2014
Kadhal Aasai,"['Yuvan Shankar Raja', ' Sooraj Santhosh']", Anjaan, Suriya, N.Lingusamy.,2014
Soda Bottle,"['Yazin', ' Anthony Dasan', ' Sathyan']", Poojai, Vishal, Hari.,2014
Devathai,['Nivas'], Poojai, Vishal, Hari.,2014
Uyire,['Yuvan Shankar Raja'], Poojai, Vishal, Hari.,2014
Odi Odi,['Palakkad Sriram'], Poojai, Vishal, Hari.,2014
Ippadiye,"['Rahul Nambiyar', ' Mili Nair']", Poojai, Vishal, Hari.,2014
Verarum,"['Karthik', ' Pooja']", Poojai, Vishal, Hari.,2014
Vandha Kadha,['Gana Bala'], Vai Raja Vai, Gautham Karthik, Aishwarya R. Dhanush.,2014
Pachai Vanna,['Yuvan Shankar Raja'], Vai Raja Vai, Gautham Karthik, Aishwarya R. Dhanush.,2014
Pookkamal,"['Tanvi Shah', ' Yuvan Shankar Raja']", Vai Raja Vai, Gautham Karthik, Aishwarya R. Dhanush.,2014
Naam Vazhndhidum,"['Hip Hop Thamizha', ' Yuvan Shankar Raja']", Vai Raja Vai, Gautham Karthik, Aishwarya R. Dhanush.,2014
Move Your Body,['Ilaiyaraja'], Vai Raja Vai, Gautham Karthik, Aishwarya R. Dhanush.,2014
uvaana Kattuku,[' Yuvan Shankar Rajah'], Idam Porul Yaeval, Vijay Sethupathi, Seenu Ramasamy.,2016
Eerakkaathae,"[' Anitha', ' Senthi Das']", Idam Porul Yaeval, Vijay Sethupathi, Seenu Ramasamy.,2016
Endha Vazhi,[' Vaikom Vijayalakshmi'], Idam Porul Yaeval, Vijay Sethupathi, Seenu Ramasamy.,2016
Kondaatamae,[' Sriram Parthasarathy'], Idam Porul Yaeval, Vijay Sethupathi, Seenu Ramasamy.,2016
Kurunthogai,"[' Sonia', ' V.V. Prasanna']", Idam Porul Yaeval, Vijay Sethupathi, Seenu Ramasamy.,2016
Vaiyambatti,"[' Priyadarshini', ' Anthony Daasan']", Idam Porul Yaeval, Vijay Sethupathi, Seenu Ramasamy.,2016
Oru Porambokku,"['STR', ' Yuvan Shankar Raja']", Kedi Billa Killadi Ranga, Vimal, Pandiraj.,2012
Konjum Kili,['Velmurugan'], Kedi Billa Killadi Ranga, Vimal, Pandiraj.,2012
Sudasuda Thooral,['Yuvan Shankar Raja'], Kedi Billa Killadi Ranga, Vimal, Pandiraj.,2012
Ulladha Naan,['Sathiyan'], Kedi Billa Killadi Ranga, Vimal, Pandiraj.,2012
Dheivangal Ellaam,['Vijay Yesudas'], Kedi Billa Killadi Ranga, Vimal, Pandiraj.,2012
Thillu Mullu,"['M.S.Vishwanathan', ' Yuvan Shankar Raja', ' Tha Prophecy']", Thillu Mullu 2, Shiva, Badri.,2012
Kaipesi En Kooda,['Ranjith'], Thillu Mullu 2, Shiva, Badri.,2012
Aaja Aaja,"['Haricharan', ' Priya Hemesh']", Thillu Mullu 2, Shiva, Badri.,2012
Raagangal Pathinaru,['Karthik'], Thillu Mullu 2, Shiva, Badri.,2012
Briyani,"['Tanvi Shah', ' Bhavatharini', ' Vilasini']", Biriyani, Karthi, Venkat Prabhu.,2013
Edhirthu Nil,"['G.V.Prakash Kumar', ' Vijay Antony', ' D.Imman', ' S.Thaman']", Biriyani, Karthi, Venkat Prabhu.,2013
Mississippi,"['Karthik', ' Premgi', ' Priya Himesh']", Biriyani, Karthi, Venkat Prabhu.,2013
Nahnh Na Nah,"['Devan Ekambaram', ' Yuvan Shankar Raja']", Biriyani, Karthi, Venkat Prabhu.,2013
Nahnh Na Nah (New Jack Swing Mix),['Yuvan Shankar Raja'], Biriyani, Karthi, Venkat Prabhu.,2013
Nahnh Na Nah (Extended Dance Mix),"['Premgi' , 'Yuvan Shankar Raja']", Biriyani, Karthi, Venkat Prabhu.,2013
Pom Pom Penne,"['Rahul Nambiar', ' Ramya NSK']", Biriyani, Karthi, Venkat Prabhu.,2013
Run For Your Life,"['Psycho Unit', 'Gaana Bala']", Biriyani, Karthi, Venkat Prabhu.,2013
Adadada Aarambame,['Shankar Mahadevan'], Aarambam, Ajith Kumar, Vishnuvardhan.,2013
En Fuse Pochu,"['Karthik', ' N.S.K.Ramya']", Aarambam, Ajith Kumar, Vishnuvardhan.,2013
Hare Rama,"['Tanvi Shah', ' Shakthisri Gopalan']", Aarambam, Ajith Kumar, Vishnuvardhan.,2013
Melala Vedikkudhu,"['Vijay Yesudas', ' K.G.Ranjith', ' Swetha Mohan']", Aarambam, Ajith Kumar, Vishnuvardhan.,2013
Stylish Thamizhachi,"['M.M.Manasi', ' Rubba Bend', ' Psycho Unit']", Aarambam, Ajith Kumar, Vishnuvardhan.,2013
Eisalaamey Eisalaam,"['Manasi Scott', ' Rahul Nambiar']", Aadhi Bhagavan, Jayam Ravi, Ameer Sultan.,2011
Kaatriley Nadanthene,"['Udit Narayanan', ' Shwetha Pandit']", Aadhi Bhagavan, Jayam Ravi, Ameer Sultan.,2011
Yaavum Poithaanaa,['Madhusree'], Aadhi Bhagavan, Jayam Ravi, Ameer Sultan.,2011
Oru Thuli Vishamaai,"['Sharib', ' Shreya Ghoshal']", Aadhi Bhagavan, Jayam Ravi, Ameer Sultan.,2011
Agadam Bagadam,['Mohit Chauhan'], Aadhi Bhagavan, Jayam Ravi, Ameer Sultan.,2011
Alai Paayum,['Udit Narayan'], Aadhalal Kadhal Seiveer, Santosh Ramesh, Suseenthiran.,2012
Mella Sirithal,['Yuvan Shankar Raja'], Aadhalal Kadhal Seiveer, Santosh Ramesh, Suseenthiran.,2012
Poovum Poovum,"['Vijay Yesudas', ' Vinaitha']", Aadhalal Kadhal Seiveer, Santosh Ramesh, Suseenthiran.,2012
Thappu Thanda,"['Javed Ali', ' Bhavatharini']", Aadhalal Kadhal Seiveer, Santosh Ramesh, Suseenthiran.,2012
Aaha Kaadhal Konji Pesudhe,['Nandini Srikar'], Moondru Per Moondru Kaadhal, Arjun, Vasanth.,2012
Kaadhal Enthan Kaadhal,['Neha Bhasin'], Moondru Per Moondru Kaadhal, Arjun, Vasanth.,2012
Mazhai Mazhai,"['Karthik', ' Shweta Mohan']", Moondru Per Moondru Kaadhal, Arjun, Vasanth.,2012
Padapadakkudhu Maname,"['Krish', ' Blaaze']", Moondru Per Moondru Kaadhal, Arjun, Vasanth.,2012
Unakkagave Uyir Vaalgiren,['Yuvan Shankar Raja'], Moondru Per Moondru Kaadhal, Arjun, Vasanth.,2012
Stop The Paatu,['Ramesh Vinayagam'], Moondru Per Moondru Kaadhal, Arjun, Vasanth.,2012
Oru Kannil Vegam,"['K.G.Ranjith', ' Naveen Madhav', ' Suchitra']", Samar, Vishal, Thiru.,2012
Azhago Azhagu,['Naresh Iyer'], Samar, Vishal, Thiru.,2012
Poikkaal Kuthirai,['Yuvan Shankar Raja'], Samar, Vishal, Thiru.,2012
Rajaavin Thottathil,"['K.G.Ranjith ', 'Rita']", Samar, Vishal, Thiru.,2012
Podi Paiyyan Polave,['Haricharan'], Rajapattai, Vikram, Suseenthiran.,2012
Villaathi Villan,"['Mano', ' Malathi']", Rajapattai, Vikram, Suseenthiran.,2012
Paniye Paniye,"['Javed Ali', ' Renuka']", Rajapattai, Vikram, Suseenthiran.,2012
Laddu Laddu Rendu Laddu,"['Vikram', ' Priyadharshini', ' Suchitra']", Rajapattai, Vikram, Suseenthiran.,2012
Podi Paiyyan,['Haricharan'], Rajapattai, Vikram, Suseenthiran.,2012
Vennira Iravugal,['Yuvan Shankar Raja'], Pesu, J. Vignesh, R. Cyril.,2011
En Per Devathai,"['Haricharan', ' Roshini']", Pesu, J. Vignesh, R. Cyril.,2011
Unthan Varthaiyil,"['Krish', ' Rajalakshmy']", Pesu, J. Vignesh, R. Cyril.,2011
Ithayam Pesuthey,"['Rahul Nambiar', ' Rita']", Pesu, J. Vignesh, R. Cyril.,2011
Evan Di Unna Pethan,"['STR', ' Yuvan Shankar Raja']", Vaanam, Silambarasan, Krish.,2010
Cable Raja,"['Abhishek', 'Lawrence']", Vaanam, Silambarasan, Krish.,2010
Who Am I,['Benny Dayal'], Vaanam,Silambarasan, Krish.,2010
No Money No Honey,"['STR', ' Andrea Jeremiah' , 'Srikanth Deva']", Vaanam,Silambarasan, Krish.,2010
Vaanam,['Yuvan Shankar Raja'], Vaanam,Silambarasan, Krish.,2010
Rasathi Pola,['Haricharan'], Avan Ivan, Arya, Bala.,2011
Dia Dia Dole,['Suchithra'], Avan Ivan, Arya, Bala.,2011
Oru Malayoram,"['Vijay Yesudas', ' Baby Priyanka', ' Baby Srinisa', 'Baby Nithyasree']", Avan Ivan, Arya, Bala.,2011
Mudhal Murai,['Vijay Prakash'], Avan Ivan, Arya, Bala.,2011
Avanapathi,"['T.L.Maharajan', ' Sathyan']", Avan Ivan, Arya, Bala.,2011
Adi Kavakara Kiliye,"['Sathyan', ' Yuvan Shankar Raja']", Avan Ivan, Arya, Bala.,2011
Vilaiyaadu Mankatha,"['Yuvan Shankar Raja', ' Ranjith', ' Sucharita', ' Premgi', ' Anita']", Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Nee Naan,"['SPB. Charan', ' Bhavatharani']", Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Vaada Bin Laada,"['Krish', ' Suchitra']", Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Machi Open The Bottle,"['Mano', ' Premgi', 'Tippu', ' Haricharan', ' Naveen']", Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Nanbane,"['Madhusree', ' Yuvan Shankar Raja']", Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Balle Lakka,"['Karthik', ' Vijay Yesudas', ' Anusha Dhayanidhi']", Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Mankatha Theme Music,['Instrumental'], Mankatha, Ajith Kumar, Venkat Prabhu.,2011
Aambalaikum Pombalaikum,"['Krishnaraj', ' Velmurugan', ' Sathyan']", Kazhugu, Krishna, Sathyasiva.,2011
Aathadi Manasudhan,['Priya'], Kazhugu, Krishna, Sathyasiva.,2011
Paathagathi Kannupattu,['Yuvan Shankar Raja'], Kazhugu, Krishna, Sathyasiva.,2011
Vaadi Vaadi,"['Pushpavanam Kuppuswamy', ' Suvi Suresh', ' Anitha']", Kazhugu, Krishna, Sathyasiva.,2011
Pa Pappa Pappa Pappa,"['Yuvan Shankar Raja', ' Renu']", Vettai, Madhavan, N.Lingusamy.,2011
Dham Dham Dham,"['Karthik', ' Krish']", Vettai, Madhavan, N.Lingusamy.,2011
Kattipidi Enna,"['Vijay Prakash', ' Shwetha Pandit']", Vettai, Madhavan, N.Lingusamy.,2011
Thaiyath Thakka,"['Harini', ' Saindhavi']", Vettai, Madhavan, N.Lingusamy.,2011
Ada Da En Meethu,"['Bela Shende', ' Hariharan']", Pathinaaru, Shiva, Sabapathy Dekshinamurthy.,2011
Yaar Solli Kadhal,['Yuvan Shankar Raja'], Pathinaaru, Shiva, Sabapathy Dekshinamurthy.,2011
Kaattu Chedikku,['Karthik Raja'], Pathinaaru, Shiva, Sabapathy Dekshinamurthy.,2011
Vaanam Namadhe,['Shankar Mahadevan'], Pathinaaru, Shiva, Sabapathy Dekshinamurthy.,2011
 Varai,"[' Ajeesh', ' Andrea Jeremiah']", Goa, Jai, Venkat Prabhu.,2010
Yeleu Thalamuraikkum,"[' Karthik Raaja', ' Venkat Prabhu', ' Bhavatharini', ' Premgi' , 'Yuvan Shankar Raja']", Goa, Jai, Venkat Prabhu.,2010
Ooru Nalla Ooru,[' Ilaiyaraaja'], Goa, Jai, Venkat Prabhu.,2010
Adida! Nayaandiya,"[' S.P.B. Charan' , ' Yugendran Vasudeva Nair']", Goa, Jai, Venkat Prabhu.,2010
Goa Goa,"[' Krish', ' Ranjith', ' Thanvi', ' Suchitra', ' Chynk Showtyme', 'Pav Bundy']", Goa, Jai, Venkat Prabhu.,2010
Idhu Varai,"[' Ajeesh' , 'Andrea Jeremiah']", Goa, Jai, Venkat Prabhu.,2010
Vaaliba Vaa Vaa,"[' Ilaiyaraaja', ' S.P.Balasubrahmanyam',  'K.S.Chitra']", Goa, Jai, Venkat Prabhu.,2010
Kaadal Endral,[' Yuvan Shankar Raja'], Goa, Jai, Venkat Prabhu.,2010
Idaivazhi Oru,"[' Benny Dayal', 'Mamtha Mohandas']", Goa, Jai, Venkat Prabhu.,2010
Goa (Club-Mix),[' Yuvan Shankar Raja'], Goa, Jai, Venkat Prabhu.,2010
En Nenjil Oru,['Sadhana Sargam'], Baana Kaathadi, Adharvaa, Badri Venkatesh.,2010
Kuppathu Rajakkal,"['Haricharan', ' Rahul Nambiar', ' Sathyan']", Baana Kaathadi, Adharvaa, Badri Venkatesh.,2010
Paithiyam Pidikudhu,['Karthik'], Baana Kaathadi, Adharvaa, Badri Venkatesh.,2010
Thaakkuthe Kan Thaakkuthe,['Yuvan Shankar Raja'], Baana Kaathadi, Adharvaa, Badri Venkatesh.,2010
Anbulla Sandhya,['Karthik'], Kaadhal Solla Vandhen, Balaji Balakrishan, Boopathy Pandian.,2010
Enna Enna Aagiraen,['Vijay Yesudas'], Kaadhal Solla Vandhen, Balaji Balakrishan, Boopathy Pandian.,2010
Oh Shala,['Yuvan Shankar Raja'], Kaadhal Solla Vandhen, Balaji Balakrishan, Boopathy Pandian.,2010
Oru Vaanavillin Pakkathilae,['Udit Narayan'], Kaadhal Solla Vandhen, Balaji Balakrishan, Boopathy Pandian.,2010
Saami Varuguthu,['Chidambaram Sivakumar Poosari'], Kaadhal Solla Vandhen, Balaji Balakrishan, Boopathy Pandian.,2010
Ding Ding,"['Vijay Prakash', ' Naveen']", Thillalangadi, Jayam Ravi, M. Raja.,2010
Sol Pechu,"['Yuvan Shankar Raja', ' K. S. Chitra', ' Shreya Ghoshal']", Thillalangadi, Jayam Ravi, M. Raja.,2010
Pootta Paathadhum,['Suchitra'], Thillalangadi, Jayam Ravi, M. Raja.,2010
Memory Loss,"['Kailash Kher', ' Ranjith']", Thillalangadi, Jayam Ravi, M. Raja.,2010
Pattu Pattu,"['STR', ' Manasi Scott']", Thillalangadi, Jayam Ravi, M. Raja.,2010
Idhayam Karaikirathe,['Sri Vardhini'], Thillalangadi, Jayam Ravi, M. Raja.,2010
Thothu Ponen,['Shankar Mahadevan'], Thillalangadi, Jayam Ravi, M. Raja.,2010
Sol Pechu Ketkadha,"['Yuvan Shankar Raja', ' K. S. Chitra', ' Shreya Ghoshal']", Thillalangadi, Jayam Ravi, M. Raja.,2010
Va Va Nilava Pudichi,['Rahul Nambiar'], Naan Mahan Alla, Karthi, Suseenthiran.,2010
Iragai Pole,"['Yuvan Shankar Raja', ' Tanvi Shah']", Naan Mahan Alla, Karthi, Suseenthiran.,2010
Oru Maalai Neram,"['Javed Ali', ' Shilpa Rao']", Naan Mahan Alla, Karthi, Suseenthiran.,2010
Theivam Illai,['Madhu Balakrishnan'], Naan Mahan Alla, Karthi, Suseenthiran.,2010
Va Va Nilava Pudichi II,['Rahul Nambiar'], Naan Mahan Alla, Karthi, Suseenthiran.,2010
Yaar Intha Penthan,['Haricharan'], Boss Engira Baskaran, Arya, M. Rajesh.,2010
Iyley Iyley,['Vijay Prakash'], Boss Engira Baskaran, Arya, M. Rajesh.,2010
Mama Mama,"['Vijay Yesudas', ' Shweta Mohan']", Boss Engira Baskaran, Arya, M. Rajesh.,2010
Thathi Thaavum Paper Naan,['Karthik'], Boss Engira Baskaran, Arya, M. Rajesh.,2010
Ada Boss Boss,['Sathyan'], Boss Engira Baskaran, Arya, M. Rajesh.,2010
Chinnan Sirisu,"['Javid Ali', ' Bela Shende']", Kunguma Poovum Konjum Puravum, Ramakrishna, Rajmohan.,2009
Kadaloram,['S.P.B. Charan'], Kunguma Poovum Konjum Puravum, Ramakrishna, Rajmohan.,2009
Kadaloram,['Yuvan Shankar Raja'], Kunguma Poovum Konjum Puravum, Ramakrishna, Rajmohan.,2009
Muttathu Pakkathil,['Venkat Prabhu'], Kunguma Poovum Konjum Puravum, Ramakrishna, Rajmohan.,2009
Na Dharmanda,['S.P.Balasubrahmanyam'], Kunguma Poovum Konjum Puravum, Ramakrishna, Rajmohan.,2009
Orunimisham,['Velmurugan'], Kunguma Poovum Konjum Puravum, Ramakrishna, Rajmohan.,2009
MGR Ilenga Nambiar Ilenga,"['Haricharan', ' Chorus']", Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Oru Adangapidari,"['Shankar Mahadevan', 'Shweta Mohan']", Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Eppadio Maatikiten,"['Clinton', 'Nruthya']", Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Oru Kal,['Remix'], Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Oru Kal,['Yuvan Shankar Raja'], Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Oru Paarvaiyil,['Ranjith'], Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Thithikum Theeai,"['Kay Kay' , 'Shweta Mohan']", Siva Manasula Sakthi (SMS), Jeeva, M. Rajesh.,2009
Adada Vaa,"['Ilaiyaraaja', ' Suvi', ' Andrea Jeremiah']", Sarvam, Arya, Vishnuvardhan.,2009
Neethane,['Yuvan Shankar Raja'], Sarvam, Arya, Vishnuvardhan.,2009
Sutta Suriyane,['Vijay Yesudas'], Sarvam, Arya, Vishnuvardhan.,2009
Kaatrukullae,['Yuvan Shankar Raja'], Sarvam, Arya, Vishnuvardhan.,2009
Siragugal,"['Javed Ali', ' Madhushree']", Sarvam, Arya, Vishnuvardhan.,2009
Theme Music,['Yuvan Shankar Raja'], Sarvam, Arya, Vishnuvardhan.,2009
Aedho Saigirai,"['Javid Ali ', ' Sowmya']", Vaamanan, Jai, Ahmed.,2009
Enga Povadhu,['Vijay Jesudas'], Vaamanan, Jai, Ahmed.,2009
Iravaipidithu,['Money Money'], Vaamanan, Jai, Ahmed.,2009
Lucky Star,"['Lucky Star', ' Blaaze', ' Suvi']", Vaamanan, Jai, Ahmed.,2009
Oru Devadhai,['Roopkumar Radhod'], Vaamanan, Jai, Ahmed.,2009
Azhagana Neeyum,"['Naresh Iyer', ' Manjari Fadnis']", Muthirai, Nithin Sathya, Srinath.,2009
July Madhathil,"['Mohammed Aslam', ' Rahul Nambiar', ' Tanvi Shah', ' Priya']", Muthirai, Nithin Sathya, Srinath.,2009
Nenjukkulla,['Shweta Mohan'], Muthirai, Nithin Sathya, Srinath.,2009
